title,subtitle,authors,publisher,isbn13,isbn10,published_year,pages,language,script,format,category,description,price
Koreni,,Dobrica Ćosić:author,Laguna,9788652120789,,2015,376,sr,Cyrl,paperback,Klasici srpske knjizevnosti,"Roman o srpskoj porodici i drustvu u 19. veku, prva NIN-ova nagrada (1954).",17.99
Lagum,,Svetlana Velmar-Janković:author,Laguna,9788652124893,,2017,280,sr,Latn,paperback,Klasici srpske knjizevnosti,Roman-ispovest beogradske gospodje ciji se svet rusi posle Drugog svetskog rata.,15.99
Upotreba čoveka,,Aleksandar Tišma:author,Akademska knjiga,9788686611598,,2010,330,sr,Latn,hardcover,Klasici srpske knjizevnosti,Roman iz novosadske trilogije o sudbinama ljudi obelezenih ratom i Holokaustom.,21.99
Mamac,,David Albahari:author,Čarobna knjiga,9788677028732,,2021,139,sr,Latn,paperback,Savremena srpska proza,"Roman o majci i porodici, o gubitku i istorijskom usudu. NIN-ova nagrada 1996.",13.99
Sitničarnica „Kod srećne ruke“,,Goran Petrović:author,Laguna,9788652129720,,2023,,sr,,paperback,Savremena srpska proza,Roman o citanju kao magiji; junaci ulaze u iste knjige. NIN-ova i Vitalova nagrada.,11.99
Opsada crkve Svetog Spasa,,Goran Petrović:author,Laguna,9788678045059,,2018,393,sr,Cyrl,paperback,Savremena srpska proza,"Poetsko-istorijski roman o srednjovekovnoj opsadi manastira, protkan fantastikom.",16.99
Islednik,,Dragan Velikić:author,Laguna,,,2015,,sr,Latn,paperback,Savremena srpska proza,"Roman o secanju i majci, o rekonstrukciji porodicne proslosti. Dvostruki NIN-ov laureat.",11.99
"Tesla, portret među maskama",,Vladimir Pištalo:author,Agora,9788660530549,,2008,420,sr,Latn,hardcover,Savremena srpska proza,"Romansirana biografija Nikole Tesle, lirska hronika epohe. NIN-ova nagrada 2008.",24.99
Komo,,Srđan Valjarević:author,Laguna,9788652133796,,2019,240,sr,Latn,paperback,Savremena srpska proza,Roman o piscu na stipendiji na jezeru Komo koji se opire svetu privilegija.,14.99
Vašarski mađioničar,,Jelena Lengold:author,Arhipelag,9788686933263,,2008,122,sr,Latn,paperback,Kratke priče,"Zbirka prica o usamljenosti, zelji i svakodnevici. Nagrada EU za knjizevnost 2011.",12.99
Ako je to ljubav,,Mihajlo Pantić:author,Arhipelag,,,2014,144,sr,Latn,hardcover,Kratke priče,Zbirka lirskih prica o ljubavi i Beogradu; Andriceva nagrada.,20.99
Kad su cvetale tikve,,Dragoslav Mihailović:author,Laguna,9788652118700,,2015,157,sr,,paperback,Klasici srpske knjizevnosti,"Roman-monolog bivseg boksera u emigraciji, o nasilju i izgnanstvu.",13.99
Top je bio vreo,,Vladimir Kecmanović:author,Laguna,9788652114474,,2014,283,sr,Latn,paperback,Savremena srpska proza,Roman o decaku u opkoljenom Sarajevu; nagrade Mesa Selimovic i Borislav Pekic.,14.99
Beleške jedne Ane,,Momo Kapor:author,Laguna,9788652128846,,2023,361,sr,Latn,paperback,Savremena srpska proza,Duhoviti monolozi mlade Beogradjanke Ane o gradskom zivotu.,16.99
Glasovi u vetru,,Grozdana Olujić:author,Srpska književna zadruga,9788637910930,,2011,302,sr,Cyrl,hardcover,Savremena srpska proza,Porodicna saga i prica o secanju i emigraciji; NIN-ova nagrada za 2009.,23.99
Ostrvo pelikana,,Miodrag Majić:author,Vulkan izdavaštvo,9788610034059,,2020,334,sr,,paperback,Savremena srpska proza,Prvi roman poznatog sudije; spaja pravni i porodicni zaplet.,17.99
Learning Cyrillic,,David Albahari:author;Ellen Elias-Bursać:translator,Geopoetika,9788661450969,,2012,271,en,Latn,paperback,Kratke priče,"Izbor Albaharijevih prica o iseljenistvu i identitetu, na engleskom jeziku.",16.99
Konstantinovo raskršće,,Dejan Stojiljković:author,Laguna,9788652103980,,,352,sr,Latn,paperback,Krimi/triler,Misticni istorijski triler u Nisu u poslednjim danima Drugog svetskog rata.,17.99
Dorćolski rekvijem,,Dejan Stojiljković:author,Laguna,,,,,sr,Latn,paperback,Krimi/triler,Nastavak iz univerzuma Konstantinovog raskrsca; beogradski detektiv i besmrtnik. Andriceva nagrada.,10.99
Nepočin-polje,,Vasko Popa:author,Kontrast izdavaštvo,9788660361556,,2022,62,sr,Latn,paperback,Poezija,"Druga zbirka Vaska Pope, ciklusi Igra i Kost kosti; modernisticka obnova srpske poezije.",9.99
Kora,,Vasko Popa:author,Kontrast izdavaštvo,,,1953,,sr,Latn,paperback,Poezija,Prva zbirka Vaska Pope koja je 1953. oznacila raskid sa socrealizmom.,6.99
Plavi čuperak,,Miroslav Antić:author,Laguna,,,2015,160,sr,Cyrl,hardcover,Poezija,Kultna zbirka pesama o prvoj ljubavi i odrastanju.,9.99
Poštovana deco: izabrane pesme,,Dušan Radović:author,Laguna,9788652135127,,2022,84,sr,Cyrl,paperback,Knjige za decu i mlade,Izbor duhovitih i mudrih pesama za decu.,10.99
Orlovi rano lete,,Branko Ćopić:author,Laguna,,,2020,,sr,,paperback,Knjige za decu i mlade,Roman o druzini decaka u Bosanskoj krajini uoci i tokom Drugog svetskog rata.,8.99
Ježeva kućica,,Branko Ćopić:author,,,,1957,,sr,,paperback,Knjige za decu i mlade,Cuvena poema za decu o jezu koji brani svoj dom.,8.99
Vidovite priče,,Ljubivoje Ršumović:author;Dušan Petričić:illustrator,Laguna,,,2013,,sr,,paperback,Knjige za decu i mlade,Zbirka od 31 price u kojoj decak Vid kroz razgovore sa zivotinjama otkriva odgovore o zivotu.,7.99
Peti leptir,,Uroš Petrović:author,Laguna,9788674367292,,2021,128,sr,Latn,paperback,Knjige za decu i mlade,Napeta decja prica-mozgalica; predlozak za film Peti leptir (2014).,10.99
Gospođa ministarka,,Branislav Nušić:author,,,,1929,,sr,,paperback,Drama,Klasicna komedija o Zivki koja postaje ministarka i o malogradjanskim ambicijama.,9.99
Narodni poslanik,,Branislav Nušić:author,,,,1883,,sr,,paperback,Drama,Satiricna komedija o izbornim spletkama u srpskom drustvu 19. veka.,10.99
Sumnjivo lice,,Branislav Nušić:author,,,,1888,,sr,,paperback,Drama,Komedija zabune o policijskoj paranoji u provincijskoj varosi.,10.99
